idpm,latitud,longitud,nombre_via,ih,temperatura,velocidad_viento,precipitacion,humedad,PM25,CO,NO,NO2
211,39.470790521694866,-0.364905958967527,"Pont de les Flors, 14",472,14.0,4,0.0,68,9.323500000000001,0.2562,30.411800000000003,46.856700000000004
212,39.473288149761466,-0.369283661425513,"Carrer del General Palanca, 6",592,14.0,4,0.0,68,9.7315,0.2682,36.29180000000001,52.3407
213,39.471429244454754,-0.370405887286133,"PlaÃ§a d'Alfons el MagnÃ nim, 6",457,14.0,4,0.0,68,9.272499999999999,0.25470000000000004,29.676800000000004,46.1712
214,39.478214368545842,-0.373048914170711,"Carrer del Pintor LÃ³pez, 5",1794,14.0,4,0.0,68,13.818299999999999,0.3884,95.1898,107.2721
215,39.470406251789889,-0.368685353882214,"Carrer del Comte de Salvatierra, 6-8",123,14.0,4,0.0,68,8.1369,0.2213,13.310800000000004,30.9074
217,39.473587052392375,-0.37450119830572,"Carrer de la Pau, 5",472,14.0,4,0.0,68,9.323500000000001,0.2562,30.411800000000003,46.856700000000004
218,39.472865441158085,-0.370921015575234,"Carrer de la Pau, 35-37",553,14.0,4,0.0,68,9.5989,0.2643,34.38080000000001,50.5584
220,39.475156071312355,-0.369772186835267,"PlaÃ§a de TetuÃ¡n, 17",1322,14.0,4,0.0,68,12.2135,0.3412,72.0618,85.70169999999999
222,39.475858832938577,-0.369270139534711,"Pont del Real, 17",292,14.0,4,0.0,68,8.7115,0.2382,21.591800000000003,38.6307
223,39.478571322574219,-0.37302735212225,"Pont de la Trinitat, 17",380,14.0,4,0.0,68,9.0107,0.247,25.903800000000004,42.6523
224,39.478824516994678,-0.374430973532327,"Carrer del Comte de TrÃ©nor, 4",2168,14.0,4,0.0,68,15.0899,0.4258,113.5158,124.3639
225,39.468234337195497,-0.370057006094035,"Carrer D'Isabel la CatÃ²lica, 19",113,14.0,4,0.0,68,8.1029,0.2203,12.820800000000002,30.450400000000002
226,39.470273512948054,-0.368744487497379,"Carrer de SornÃ­, 5-7",175,14.0,4,0.0,68,8.3137,0.2265,15.858800000000004,33.2838
3035,39.467900032954113,-0.332539261595662,"Carrer del Mediterrani, 4",30,14.0,4,0.0,68,7.8207,0.21200000000000002,8.753800000000002,26.6573
3036,39.467941510775347,-0.332352127788619,"Carrer del Mediterrani, 4",125,14.0,4,0.0,68,8.1437,0.2215,13.408800000000003,30.9988
3038,39.46898305307348,-0.332262918218446,"Carrer de LluÃ­s Despuig, 12-16",26,14.0,4,0.0,68,7.8071,0.2116,8.557800000000004,26.4745
3039,39.468839981611438,-0.328438919352113,"Carrer d'Empar Guillem, 8",4,14.0,4,0.0,68,7.7323,0.2094,7.4798000000000044,25.4691
3041,39.466033078500992,-0.327839113647287,"Carrer del Doctor Lluch, 52",12,14.0,4,0.0,68,7.7595,0.2102,7.871800000000004,25.8347
3042,39.46694787702981,-0.327829217313166,"Carrer de la Mare de DÃ©u del Sufragi, 52",75,14.0,4,0.0,68,7.973700000000001,0.2165,10.958800000000004,28.7138
3043,39.463592691292725,-0.324809454338204,"Carrer d'EugÃ¨nia ViÃ±es, 13",176,14.0,4,0.0,68,8.3171,0.2266,15.907800000000003,33.329499999999996
3044,39.463170739920464,-0.326556996443136,"Carrer del Doctor Marcos Sopena, 23",87,14.0,4,0.0,68,8.0145,0.2177,11.546800000000003,29.2622
3116,39.4619452917632,-0.335573814575974,"Carrer de l'Arquitecte Alfaro, 8",19,14.0,4,0.0,68,7.7833000000000006,0.2109,8.214800000000004,26.154600000000002
3117,39.462080134534887,-0.336135764536089,"Carrer de Josep Aguirre, 18-20",79,14.0,4,0.0,68,7.987299999999999,0.2169,11.154800000000003,28.8966
4011,39.493384308727471,-0.388437996730393,"Carrer del Poeta Serrano Clavero, 43",103,14.0,4,0.0,68,8.0689,0.2193,12.330800000000004,29.9934
4021,39.497291681025303,-0.393508831729724,"Carrer de Salvador CerverÃ³, 101",63,14.0,4,0.0,68,7.9329,0.2153,10.370800000000003,28.165399999999998
4022,39.498654526788329,-0.391444938738302,"Carrer de Salvador CerverÃ³, 47",63,14.0,4,0.0,68,7.9329,0.2153,10.370800000000003,28.165399999999998
4023,39.498828640263085,-0.390961889755927,"Carrer de Salvador CerverÃ³, 47",38,14.0,4,0.0,68,7.8479,0.2128,9.145800000000005,27.0229
4024,39.499911146611915,-0.389328449984179,"Carrer de Salvador CerverÃ³, 24",125,14.0,4,0.0,68,8.1437,0.2215,13.408800000000003,30.9988
4101,39.45033750826974,-0.395433188596106,"Avinguda de les Tres Creus, 5187",595,14.0,4,0.0,68,9.7417,0.2685,36.4388,52.4778
