id punto de medida,angulo,ptos_gps,nombre_via,tipo
507,300,"39.4606741467,-0.37275392934","Carrer de Cadis, 66",0
512,109,"39.4597777022,-0.36934502445","Carrer del Mestre Aguilar, 26-28",0
518,126,"39.4582738564,-0.376555263399","Carrer de les Filipines, 29",0
524,300,"39.4608205615,-0.368787126222","Carrer del Pintor Salvador Abril, 48-50",0
526,120,"39.4530828454,-0.372969472039","Avinguda d'AusiÃ s March, 42",0
527,210,"39.4596198518,-0.372164838403","Carrer dels Centelles, 25-27",0
528,210,"39.4590436311,-0.373527032032","Carrer dels Centelles, 40-42",0
529,30,"39.4572612121,-0.374857259378","Avinguda de Peris i Valero, 38",0
530,30,"39.4582526719,-0.3725065504","Avinguda de Peris i Valero, 62",0
530,30,"39.4582526719,-0.3725065504","Avinguda de Peris i Valero, 62",0
531,300,"39.4603096765,-0.378512735394","Carrer de les Filipines, 606",0
532,120,"39.4598436293,-0.377740280089","Carrer de les Filipines, 13-15",0
533,120,"39.4611513049,-0.378662826389","Carrer de les Filipines, 3",0
534,30,"39.4610118607,-0.378082689349","Carrer de Buenos Aires, 39",0
535,120,"39.4604644033,-0.374397889635","Carrer de Sueca, 48",0
537,301,"39.4606215719,-0.366172825552","Carrer del General Urrutia, 2",0
601,10,"39.4552605127,-0.379701942062","Avinguda de Peris i Valero, 10",0
602,83,"39.4563355086,-0.383783681268","Carrer de Sant Vicent MÃ rtir, 211-213",0
727,231,"39.4593821504,-0.401062261929","Carrer de l'Arxiduc Carles, 82",0
728,185,"39.4639889119,-0.396551433277","Carrer de les Tres Forques, 77",0
731,95,"39.4640299156,-0.400774844236","Carrer de Santa Cruz de Tenerife, 20",0
732,5,"39.4637160799,-0.400644570752","Carrer de les Tres Forques, 20",0
738,275,"39.4643105203,-0.403530573323","Carrer de Josep Maestre, 19",0
739,5,"39.4640038147,-0.393656046422","Carrer de les Tres Forques, 45",0
740,185,"39.464163925,-0.392381991683","Carrer de les Tres Forques, 40-44",0
